Name,Ratings,Details,Price
"Redmi 7 (Eclipse Black, 32 GB)",4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB
15.9 cm (6.26 inch) HD+ Display
12MP + 2MP | 8MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 632 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
","₹8,340"
"OPPO F7 (Black, 128 GB)",4.5,"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
15.82 cm (6.23 inch) Full HD+ Display
16MP Rear Camera | 25MP Front Camera
3400 mAh Battery
MTK P60 Octa Core 2.0 GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹27,990"
"OPPO F7 (Red, 128 GB)",4.5,"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
15.82 cm (6.23 inch) Full HD+ Display
16MP Rear Camera | 25MP Front Camera
3400 mAh Battery
MTK P60 Octa Core 2.0 GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹27,990"
Micromax X749,4.2,"32 MB RAM | 32 MB ROM |
6.1 cm (2.4 inch) Display
0.3MP Rear Camera
1750 mAh Battery
1 Year Product and 6 Month Accessories
","₹1,069"
"Gionee S11 Lite (Dark Blue, 32 GB)",4,"4 GB RAM | 32 GB ROM | Expandable Upto 256 GB
14.48 cm (5.7 inch) HD+ Display
13MP + 2MP | 16MP Front Camera
3030 mAh Lithium-polymer Battery
Snapdragon 430 Octa-core Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹6,999"
"Apple iPhone 11 Pro (Midnight Green, 512 GB)",4.7,"512 GB ROM |
14.73 cm (5.8 inch) Super Retina XDR Display
12MP + 12MP + 12MP | 12MP Front Camera
A13 Bionic Chip Processor
Brand Warranty for 1 Year
","₹1,31,900"
"Karbonn Vue 1 (Silver Blue, 8 GB)",4.1,"1 GB RAM | 8 GB ROM | Expandable Upto 128 GB
13.46 cm (5.3 inch) FWVGA Display
5MP Rear Camera | 5MP Front Camera
2300 mAh Battery
1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase.
","₹3,199"
"Asus ZenFone 5Z (Midnight Blue, 64 GB)",4.5,"6 GB RAM | 64 GB ROM | Expandable Upto 2 TB
15.75 cm (6.2 inch) Full HD+ Display
12MP + 8MP | 8MP Front Camera
3300 mAh Battery
Qualcomm Snapdragon 845 Octa Core Processor
Brand Warranty of 1 Year Available for Handset and 6 Months for Accessories
","₹16,999"
I Kall K 50 Combo of 2,4,"32 MB RAM | 64 MB ROM |
7.11 cm (2.8 inch) Display
0.3MP Rear Camera
2000 mAh Battery
1 Year Manufacturer warranty
","₹1,199"
"Samsung Galaxy S7 Edge (Black Onyx, 32 GB)",4.4,"4 GB RAM | 32 GB ROM | Expandable Upto 200 GB
13.97 cm (5.5 inch) Quad HD Display
12MP Rear Camera | 5MP Front Camera
3600 mAh Li-Ion Battery
Exynos 8890 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹41,900"
