Name,Stars,Ratings,Reviews,Specifications,Price
"InFocus M500 (Graphite, 8 GB)  (1 GB RAM)",3.5,392 Ratings,59 Reviews,"{'In The Box': 'Handset, Charger, Battery, Earphone, Data Cable, Warranty Card', 'Model Number': 'M500', 'Model Name': 'M500', 'Color': 'Graphite', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'Yes', 'OTG Compatible': 'Yes', 'Quick Charging': 'Yes', 'Additional Content': '4G VoLTE', 'Display Size': '12.7 cm (5 inch)', 'Resolution': '1920 x 1020 Pixels', 'Resolution Type': 'HQVGA', 'Operating System': 'Android Lollipop 6', 'Processor Core': 'Quad Core', 'Primary Clock Speed': '1.2 GHz', 'Internal Storage': '8 GB', 'RAM': '1 GB', 'Expandable Storage': '32 GB', 'Memory Card Slot Type': 'Dedicated Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '5MP Rear Camera', 'Secondary Camera Available': 'Yes', 'HD Recording': 'Yes', 'Full HD Recording': 'Yes', 'Video Recording': 'Yes', 'Image Editor': 'Yes', 'Hands Free': 'Yes', 'Call Divert': 'Yes', 'Speaker Phone': 'Yes', 'Network Type': '3G, 4G VOLTE, 2G', 'Supported Networks': 'GSM, 4G VoLTE', '3G': 'Yes', 'GPRS': 'Yes', 'Micro USB Port': 'Yes', 'Wi-Fi': 'Yes', 'Wi-Fi Hotspot': 'Yes', 'USB Tethering': 'Yes', 'USB Connectivity': 'Yes', 'Audio Jack': '3.5 mm', 'GPS Support': 'Yes', 'Smartphone': 'Yes', 'Mobile Tracker': 'Yes', 'Social Networking Phone': 'Yes', 'Business Phone': 'Yes', 'Removable Battery': 'Yes', 'MMS': 'Yes', 'SMS': 'Yes', 'Predictive Text Input': 'Yes', 'Games': 'Yes', 'FM Radio': 'Yes', 'Battery Capacity': '2450 mAh', 'Battery Type': 'Li-Ion', 'Dual Battery': 'No', 'Warranty Summary': '1 Year Brand Warranty', 'Warranty Service Type': 'On-site service center warra', 'Covered in Warranty': 'any type of manufacturing fault', 'Not Covered in Warranty': 'any type of physically damage', 'Domestic Warranty': '1 Year', 'International Warranty': '1 Year'}",4699
"Nokia 2 (Copper/Black, 8 GB)  (1 GB RAM)",3.8,"6,673 Ratings",972 Reviews,"{'In The Box': 'User Manual, Headset, Charger, Cable, Handset', 'Model Number': 'TA-1011', 'Model Name': '2', 'Color': 'Copper/Black', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'Yes', 'OTG Compatible': 'No', 'Quick Charging': 'No', 'Display Size': '12.7 cm (5 inch)', 'Resolution': '1280 x 720 Pixels', 'Resolution Type': 'HD', 'Display Type': 'HD LTPS Display', 'Operating System': 'Android Nougat 7.1.1', 'Processor Core': 'Quad Core', 'Primary Clock Speed': '1.3 GHz', 'Internal Storage': '8 GB', 'RAM': '1 GB', 'Supported Memory Card Type': 'microSD', 'Memory Card Slot Type': 'Dedicated Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '8MP Rear Camera', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '5MP Front Camera', 'Dual Camera Lens': 'Primary & Secondary Camera', 'Network Type': '3G, 4G, 2G', 'Supported Networks': 'GSM, 4G LTE', 'Micro USB Port': 'Yes', 'Wi-Fi Hotspot': 'Yes', 'Audio Jack': '3.5 mm', 'GPS Support': 'Yes', 'Smartphone': 'Yes', 'SIM Size': 'Nano SIM', 'Keypad Type': 'QWERTY', 'Removable Battery': 'No', 'Voice Input': 'Yes', 'Predictive Text Input': 'Yes', 'SIM Access': 'Dual Standby', 'Battery Capacity': '4100 mAh', 'Warranty Summary': '1 Year on Handset & 6 Months on Accessories'}",7007
"OPPO A9 2020 (Space Purple, 128 GB)  (4 GB RAM)",4.4,"2,227 Ratings",212 Reviews,"{'In The Box': 'Handset, Adapter, Headset, Micro USB Cable, Important Info. Booklet with Warranty Card, Quick Start Guide, Sim Card Tool, Protective Film, Pre-applied, Case', 'Model Number': 'CPH1937', 'Model Name': 'A9 2020', 'Color': 'Space Purple', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'Yes', 'OTG Compatible': 'Yes', 'Sound Enhancements': 'Dolby Atmos and Dual Stereo Speakers', 'Display Size': '16.51 cm (6.5 inch)', 'Resolution': '1600 x 720 Pixels', 'GPU': 'Adreno 610', 'Display Type': 'TFT-LCD', 'Display Colors': '16M', 'Other Display Features': 'Touch Panel Technology: In-cell, Narrow Frame - Upper Border: 2.44mm, Left and Right Border: 1.98mm, Lower Border: 6.6mm, Screen Ratio: 89.0%, Screen Contrast: 1500:1, Color Saturation: Typical 71%, Maximum Brightness: 480nits, Touch Panel Glass Type: GG3+, TYPE-C USB 2.0', 'Operating System': 'Android Pie 9', 'Processor Type': 'Qualcomm SM6125', 'Processor Core': 'Octa Core', 'Primary Clock Speed': '1.8 GHz', 'Secondary Clock Speed': '2 GHz', 'Internal Storage': '128 GB', 'RAM': '4 GB', 'Memory Card Slot Type': 'Dedicated Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '48MP + 8MP + 2MP + 2MP', 'Primary Camera Features': 'Ultra Wide Quad Camera, Sensor Type: 48MP CMOS/S5KGM1SP/OV48B, 8MP COMS/Hi846/OV8856, 2MP CMOS/OV02A1B/GC02M0, 2MP CMOS/GC02M0/OV02A1B, Maximum Zoom Multiples: 10X, Aperture: 48MP (f/1.8) + 8MP (f/2.25) + 2MP (f/2.4) + 2MP (f/2.4), Focal Length: 48MP (4.71mm) + 8MP (1.66mm) + 2MP (1.77mm) + 2MP (f1.77mm), Lens Number: 48MP (6P) + 8MP (5P) + 2MP (3P) + 2MP (3P)', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '16MP Front Camera', 'Secondary Camera Features': 'Sensor Sizes/Pixel Data - 1/3.1inch, 1.0micrometer, Sensor Type: S5K3P9SP04, Wide Angle of Front: 79Degree, Aperture: F2.0, Focal Length: 3.42mm, Lens Number: 5P', 'Flash': 'Rear LED Flash', 'Frame Rate': 'Front Camera Video: 1080P/720P at 30 fps', 'Dual Camera Lens': 'Primary Camera', 'Network Type': '4G VOLTE, 4G, 3G, 2G', 'Supported Networks': '4G VoLTE, UMTS, GSM, 4G LTE, WCDMA, CDMA', 'Internet Connectivity': '4G, 3G, Wi-Fi, EDGE, GPRS', '3G Speed': 'HSPA+', 'GPRS': 'Yes', 'Micro USB Port': 'Yes', 'Micro USB Version': '2', 'Bluetooth Support': 'Yes', 'Bluetooth Version': 'v5.0', 'Wi-Fi': 'Yes', 'Wi-Fi Version': '802.11a/b/g/n/ac', 'USB Connectivity': 'Yes', 'EDGE': 'Yes', 'Audio Jack': '3.5mm', 'Smartphone': 'Yes', 'Touchscreen Type': 'Capacitive Screen, Multi-touch', 'SIM Size': 'Dual Nano SIM', 'User Interface': 'ColorOS 6.0.1', 'Removable Battery': 'No', 'Graphics PPI': '269 PPI', 'Ringtones Format': 'MP3/AMR/APE/OGG/FLAC/WAV/MIDI/WMA', 'Other Features': 'Face Recognition, Split Screen (Specific Apps), Clone Apps, Night Shield, Sensor Hub, Game Acceleration (Specific Apps), CPU Technology - 11nm, ROM Technology: UFS 2.1, Energy Density - 696 Wh/L, Charge Speed/Power - 5V 2A, 10W, WLAN 2.4G, WLAN 5.1G, WLAN 5.8G, WLAN Display, Game Boost 2.0, 4G+, 64 bits Processor, Video Stability, Ultra Night Mode 2.0, Reverse Charging', 'FM Radio': 'Yes', 'Audio Formats': 'MP3/AAC/APE/AMR/WAV/MID/OGG/FLAC/WMA', 'Video Formats': 'AVI/3GP/MP4/WMV/MKV/MOV/ASF/FLV', 'Battery Capacity': '5000 mAh', 'Width': '75.6 mm', 'Height': '163.6 mm', 'Depth': '9.1 mm', 'Weight': '195 g', 'Warranty Summary': 'Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories'}",14990
"Micromax Bolt Q301 (Grey, 4 GB)  (512 MB RAM)",3.5,328 Ratings,32 Reviews,"{'In The Box': 'Handset, Battery, Charger, USB Cable, Earphone', 'Model Number': 'Q301', 'Model Name': 'Bolt Q301', 'Color': 'Grey', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Touchscreen': 'Yes', 'Additional Content': 'flip cover in the box', 'Display Size': '10.16 cm (4 inch)', 'Resolution': '380 x 840 Pixels', 'Operating System': 'Android Lollipop 5', 'Processor Core': 'Quad Core', 'Primary Clock Speed': '1.2 GHz', 'Internal Storage': '4 GB', 'RAM': '512 MB', 'Memory Card Slot Type': 'Dedicated Slot', 'Primary Camera': '2MP Rear Camera', 'Network Type': '3G, 2G', 'Supported Networks': 'GSM, WCDMA', 'Battery Capacity': '1400 mAh', 'Warranty Summary': '1 Year Manufacturer Warranty'}",3095
"Kult Beyond (Black, 32 GB)  (3 GB RAM)",3.5,18 Ratings,3 Reviews,"{'In The Box': 'Handset, Battery, USB Cable, Adaptor and Quick Startup Guide', 'Model Number': 'Beyond', 'Model Name': 'Beyond', 'Color': 'Black', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'Yes', 'OTG Compatible': 'Yes', 'Display Size': '13.21 cm (5.2 inch)', 'Resolution': '1280 x 720$$Pixels', 'Operating System': 'Android Nougat 7', 'Processor Core': 'Quad Core', 'Primary Clock Speed': '1.25 GHz', 'Internal Storage': '32 GB', 'RAM': '3 GB', 'Memory Card Slot Type': 'Dedicated Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '13MP Rear Camera', 'Secondary Camera Available': 'Yes', 'Flash': 'Back', 'Call Wait/Hold': 'Yes', 'Conference Call': 'Yes', 'Call Divert': 'Yes', 'Phone Book': 'Yes', 'Call Timer': 'Yes', 'Speaker Phone': 'Yes', 'Network Type': '4G, 3G, 2G', 'Supported Networks': '4G LTE, GSM', 'Smartphone': 'Yes', 'SIM Size': 'Micro+Micro', 'Social Networking Phone': 'Yes', 'Instant Message': 'Yes', 'Business Phone': 'Yes', 'MMS': 'Yes', 'SMS': 'Yes', 'Keypad': 'No', 'Predictive Text Input': 'Yes', 'SIM Access': 'Dual Standby', 'Battery Capacity': '3000 mAh', 'Battery Type': 'Lithium Polymer', 'Weight': '158 g', 'Warranty Summary': '12 Month', 'Warranty Service Type': '1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase'}",3999
"Coolpad Mega 5M (Blue, 16 GB)  (1 GB RAM)",3.6,750 Ratings,65 Reviews,"{'In The Box': 'Handset, Removable Battery, Travel charger, USB cable, Protective case, Protective Film, Warranty card, Quick Start guide', 'Model Number': 'Mega 5M', 'Model Name': 'Mega 5M', 'Color': 'Blue', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'Yes', 'OTG Compatible': 'No', 'Quick Charging': 'No', 'Display Size': '12.7 cm (5 inch)', 'Resolution': '1280 x 720$$Pixels', 'Resolution Type': 'HD', 'Display Type': 'HD', 'HD Game Support': 'No', 'Display Colors': '16M', 'Operating System': 'Android Oreo 8.0', 'Processor Type': 'Quad Core', 'Processor Core': 'Quad Core', 'Primary Clock Speed': '1.2 GHz', 'Secondary Clock Speed': '1.2 GHz', 'Operating Frequency': '1.2GHz', 'Internal Storage': '16 GB', 'RAM': '1 GB', 'Expandable Storage': '32 GB', 'Supported Memory Card Type': 'microSD', 'Memory Card Slot Type': 'Dedicated Slot', 'Call Log Memory': 'Yes', 'Primary Camera Available': 'Yes', 'Primary Camera': '5MP Rear Camera', 'Primary Camera Features': '5MP', 'Optical Zoom': 'No', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '2MP Front Camera', 'Flash': 'Yes', 'HD Recording': 'Yes', 'Full HD Recording': 'No', 'Video Recording': 'Yes', 'Digital Zoom': 'No', 'Image Editor': 'No', 'Call Wait/Hold': 'Yes', 'Conference Call': 'Yes', 'Hands Free': 'No', 'Video Call Support': 'Yes', 'Call Divert': 'Yes', 'Phone Book': 'Yes', 'Call Timer': 'Yes', 'Speaker Phone': 'Yes', 'Speed Dialing': 'Yes', 'Call Records': 'No', 'Logs': 'Yes', 'Network Type': '3G, 4G, 2G', 'Supported Networks': 'GSM, 4G LTE', 'Internet Connectivity': 'Yes', '3G': 'Yes', '3G Speed': 'Yes', 'GPRS': 'Yes', 'WAP': 'Yes', 'Pre-installed Browser': 'Yes', 'Micro USB Port': 'Yes', 'Mini USB Port': 'No', 'Bluetooth Support': 'Yes', 'Bluetooth Version': '4.2', 'Wi-Fi': 'Yes', 'Wi-Fi Hotspot': 'Yes', 'Mini HDMI Port': 'No', 'NFC': 'No', 'USB Tethering': 'Yes', 'TV Out': 'No', 'Infrared': 'No', 'USB Connectivity': 'Yes', 'EDGE': 'No', 'Audio Jack': 'Yes', 'Map Support': 'Yes', 'GPS Support': 'Yes', 'Smartphone': 'Yes', 'Touchscreen Type': 'Yes', 'Mobile Tracker': 'No', 'Keypad Type': 'Alphanumeric', 'Social Networking Phone': 'Yes', 'Instant Message': 'Yes', 'Business Phone': 'Yes', 'Java Application': 'No', 'Removable Battery': 'No', 'JAVA Support': 'No', 'MMS': 'Yes', 'SMS': 'Yes', 'Keypad': 'No', 'Voice Input': 'Yes', 'Predictive Text Input': 'Yes', 'User Memory': '16', 'Sensors': 'Accelerometer', 'Upgradable Operating System': '8.1', 'Supported Languages': 'English & Hindi', 'Games': 'Yes', 'Series': 'Mega', 'Ringtones Format': 'Mp3', 'FM Radio': 'No', 'FM Radio Recording': 'No', 'Audio Formats': 'MP3', 'Music Player': 'Yes', 'Video Formats': 'Mp4', 'Battery Capacity': '2000 mAh', 'Battery Type': 'Li-Ion', 'Talk Time': '7Hr', 'Dual Battery': 'No', 'Warranty Summary': '1 Year', 'Warranty Service Type': 'Hardware & Software', 'Domestic Warranty': '1 Year', 'International Warranty': '1 Year'}",3748
"OPPO F15 (Unicorn White, 128 GB)  (8 GB RAM)",4.4,"4,430 Ratings",460 Reviews,"{'In The Box': 'Handset, Headset, USB Cable, Adapter, SIM Card Pin, Protective Case, Quick Guide, Warranty Card', 'Model Number': 'CPH2001', 'Model Name': 'F15', 'Color': 'Unicorn White', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'Yes', 'OTG Compatible': 'Yes', 'Sound Enhancements': 'Dirac Audio, Dual Mic Noise Suppression', 'SAR Value': 'Head: 1.20 W/kg, Body: 0.55 W/kg', 'Display Size': '16.26 cm (6.4 inch)', 'Resolution': '2400 x 1080 Pixels', 'Resolution Type': 'Full HD+', 'GPU': 'ARM Mali G72 MP3 900 MHz', 'Display Type': 'AMOLED', 'Other Display Features': 'Screen Proportion: 20:9, Upper Frame: 2.32mm, Left and Right Frame: 1.67mm, Lower Frame: 5.2mm, Screen Ratio: 90.8%, Color Gamut: 100% NTSC, 104% NTSC DCI - P3, Color Contrast: 1000000:1, Color Saturation: Typical Value 100%, Maximum Screen Brightness: Typical Value 430nit, Corning Gorilla Glass 5, Multi-touch: 10, Oleophobic Layer, Oleophobic Layer on Film, Screen Refresh Rate: 60Hz, Touch Sampling Rate: 135Hz, TUV Rheinland Eye Comfort Certification, No Stroboscopic Eye Protection', 'Operating System': 'Android Pie 9', 'Processor Type': 'Helio P70', 'Processor Core': 'Octa Core', 'Primary Clock Speed': '2.1 GHz', 'Secondary Clock Speed': '2 GHz', 'Operating Frequency': 'GSM: 850/900/1800/1900 MHz, WCDMA: B1/B5/B8, FDD-LTE: B1/B3/B5/B8, TD-LTE: B38/B40/B41', 'Internal Storage': '128 GB', 'RAM': '8 GB', 'Expandable Storage': '256 GB', 'Supported Memory Card Type': 'microSD', 'Memory Card Slot Type': 'Dedicated Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '48MP + 8MP + 2MP + 2MP', 'Primary Camera Features': '48MP AI Quad Cam, Sensor Sizes/Pixel Size: Main 1/2.25inch, 0.8micrometer, Secondary Wide Angle: 1/4inch, 1.12 micrometer, 2M 1/5inch, 1.75micrometer, Sensor Type: CMOS, Zoom Mode: Main - 10X Digital Zoom, Wide Angle - 2X Digital Zoom, Aperture: Main - f/1.79, Wide Angle - f/2.25, Portrait and Mono - f/2.4, Focal Length: Main - 4.71mm, Wide Angle - 1.66mm, Portrait and Mono - 1.77mm, Wide Angle: Main - 79Degree, Wide Angle - 119 Degree, Portrait and Mono - 88.8Degree, Consecutive Shooting: Yes (20 Photos), Macro Lens: Back 3CM Macro Camera, EIS Stabilization, Lens Glass Material: GG5, Corning Gorilla Glass 5, Photo Size: 8000 x 6000 (FHD+ Mode), 4000 x 3000 (Standard Mode), Ultra Clear Mode 48MP, Photo, Video, Professional Mode, Panorama, Portrait, Night Scene, Time-lapse Photography, Slow Motion, Macro, Video Stabilization, AI Scene Recognition, Full Light for Shooting Video, MP4 Video Format, Anti-shake Video, Ultra Night Mode 2.0', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '16MP Front Camera', 'Secondary Camera Features': 'Camera Structure: Water-drop, Sensor Type: CMOS (4-in-1 Pixel Technology), Sensor Size/Pixel Size: 1/3.1inch, 1.0micrometer, Focal Length: 3.54mm, Wide Angle of Front Lens: 77Degree, Flashlight Aperture: f/2.0, Lens Structure: 5P, Focusing Type: Focus, Lens Glass Material: GG5, Corning Gorilla Glass 5, Photo Size: 4608 x 3456, MP4 Video Format', 'Frame Rate': 'Rear Camera: Slow-motion Video - 1080p at 120fps, 720p at 240fps, Rear Camera: 1080P at 30fps, 720P at 30fps, Front Camera: 1080P/720P at 30fps, Rear Camera Default: 1080P at 30fps, Front Camera Default: 720P at 30fps fps', 'Dual Camera Lens': 'Primary Camera', 'Video Call Support': 'Yes', 'Call Records': 'Yes', 'Network Type': '4G VOLTE, 4G, 3G, 2G', 'Supported Networks': '4G VoLTE, 4G LTE, UMTS, WCDMA, CDMA, GSM', 'Internet Connectivity': '4G, 3G, Wi-Fi, EDGE, GPRS', '3G Speed': 'HSPA+', 'GPRS': 'Yes', 'Bluetooth Support': 'Yes', 'Bluetooth Version': 'v4.2', 'Wi-Fi': 'Yes', 'Wi-Fi Version': '802.11a/b/g/n/ac', 'Wi-Fi Hotspot': 'Yes', 'EDGE': 'Yes', 'Audio Jack': '3.5mm', 'Map Support': 'Google Maps', 'GPS Support': 'Yes', 'Touchscreen Type': 'Multi-touch Capacitive Screen', 'SIM Size': 'Dual Nano SIM', 'User Interface': 'ColorOS 6.1.2', 'Graphics PPI': '408 PPI', 'Sensors': 'In-screen Fingerprint, Magnetic Induction Sensor, Light Sensor, Proximity Sensor, G - Sensor/Acceleration Sensor, Gyroscope, Pedometer', 'Ringtones Format': 'MP3, AMR, APE, OGG, FLAC, WAV, MIDI, WMA', 'Other Features': ""Split Screen,Apps with Game Boost (Popular Games), Google Lens, Data Backup, Oshare (Indian Phone Number's Recognition), Apps Lock, Office Tools: Office Suite, Firewall: Support Call/Message Firewall, Files Zip/Unzip, File Encryption, 64bit Processor, Baseband Structure: 4 (Cortex A73) + 4 (Cortex A53), 12nm Processor, ROM Technology: UFS2.1, VoLTE, 4G Data Rate: 75Mbps (Carrier Model 150mbps), Downlink: 150Mbps (Carrrier Model 300Mbps), WLAN: 2.4G, 5.1G, 5.8G WLAN Display, USB 2.0, VOOC Flash Charge 3.0, Reverse Charging, Standard Charge Power: 20W, Type-C USB Jack, Pin Number (USB): 14, Face Recognition, Single Channel,Eye Protection Mode, Clone App, Banner Call, Game Boost, Kids Space, Text Input, Support HD, Webpage Video Play, World Time, Lock Screen Clock, OPPO Share, E-compass, E-book, Screen Recording, Background Freeze, Caller Avatar, Call Background, Contact Grouping, Group Customization, Import/Export Messages, Number of Ram Channels: 2, Fingerprint Reset password, Sleek Design, Flashlight"", 'Important Apps': 'Bulit-in Browser: Chrome, Opera, OPPO Browsers', 'GPS Type': 'A-GPS, GLONASS, BeiDou', 'FM Radio': 'No', 'Audio Formats': 'AAC, APE, FLAC, AMR, MID, MP3, OGG, WAV, WMA, MKA', 'Video Formats': 'MP4, 3GP, ASF, AVI, FLV, M2TS, MKV, MPG, TS, WEBM, WMV', 'Battery Capacity': '4000 mAh', 'Width': '73.3 mm', 'Height': '160.2 mm', 'Depth': '7.9 mm', 'Weight': '172 g', 'Warranty Summary': 'Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories'}",19990
"Gionee Ctrl V4S (White, 8 GB)  (1 GB RAM)",3.7,56 Ratings,12 Reviews,"{'Model Name': 'Ctrl V4S', 'Color': 'White', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Sound Enhancements': 'DTS Surround Sound', 'Display Size': '11.43 cm (4.5 inch)', 'Resolution': '854 x 480 Pixels', 'Resolution Type': 'FWVGA', 'Other Display Features': 'IPS Display', 'Operating System': 'Android KitKat 4.4', 'Processor Core': 'Quad Core', 'Primary Clock Speed': '1.3 GHz', 'Operating Frequency': 'GSM - 850, 900, 1800, 1900; WCDMA - 2100', 'Internal Storage': '8 GB', 'RAM': '1 GB', 'Expandable Storage': '32 GB', 'Supported Memory Card Type': 'MicroSD', 'Memory Card Slot Type': 'Dedicated Slot', 'Phone Book Memory': 'Yes', 'Call Log Memory': 'Yes', 'SMS Memory': 'Yes', 'Primary Camera Available': 'Yes', 'Primary Camera': '8MP Rear Camera', 'Primary Camera Features': 'Auto Focus, Stylized Video: Six Different Color Tones', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '2MP Front Camera', 'Secondary Camera Features': 'Fixed Focus', 'Video Recording': 'Yes', 'Conference Call': 'Yes', 'Hands Free': 'Yes', 'Network Type': '3G', 'Supported Networks': 'GSM, WCDMA', 'Internet Connectivity': '3G, Wi-Fi', '3G': 'Yes', 'Pre-installed Browser': 'UC Browser', 'Bluetooth Support': 'Yes', 'Bluetooth Version': '4', 'Wi-Fi': 'Yes', 'Audio Jack': '3.5 mm', 'Map Support': 'Google Maps', 'GPS Support': 'Yes', 'Smartphone': 'Yes', 'SMS': 'Yes', 'Sensors': 'Proximity Sensor, G-Sensor, eCompass, Accelerometer', 'Other Features': 'Call Recording, Camera Modes, Application Management, Device Personalization, Shake to Terminate, Touchpal', 'Important Apps': 'HotKnot, Cam Card - Business Card Reader', 'FM Radio': 'Yes', 'Audio Formats': 'MP3', 'Battery Capacity': '1800 mAh', 'Width': '65 mm', 'Height': '131 mm', 'Depth': '7.8 mm', 'Warranty Summary': '1 Year for Mobile & 6 Months for Accessories'}",6499
"LYF Water 4 (White, 16 GB)  (2 GB RAM)",3.5,11 Ratings,1 Reviews,"{'In The Box': 'Micro USB Cable, Earphones, SIM Card Removing Pin, Screen Guard, Quick Service Guide, Handset, Charger Adaptor, Battery', 'Model Name': 'Water 4', 'Color': 'White', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'Yes', 'OTG Compatible': 'No', 'Display Size': '12.7 cm (5 inch)', 'Resolution': '1280 x 720 Pixels', 'Resolution Type': 'HD', 'GPU': 'Adreno 306; 450 MHz', 'Display Type': 'LCD', 'Other Display Features': 'IPS Display, 5-point Multi-touch', 'Operating System': 'Android Lollipop 5.1', 'Processor Type': 'Qualcomm Snapdragon 410', 'Processor Core': 'Quad Core', 'Primary Clock Speed': '1.2 GHz', 'Operating Frequency': 'GSM - 900, 1800; UMTS: 2100; 4G LTE', 'Internal Storage': '16 GB', 'RAM': '2 GB', 'Primary Camera Available': 'Yes', 'Primary Camera': '13MP Rear Camera', 'Primary Camera Features': 'Auto Focus', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '5MP Front Camera', 'Phone Book': 'Yes', 'Network Type': '3G, 4G', 'Supported Networks': 'GSM, 4G LTE', 'Internet Connectivity': '4G, 3G', '3G': 'Yes', 'Pre-installed Browser': 'Android', 'Micro USB Port': 'Yes', 'USB Connectivity': 'Yes', 'Smartphone': 'Yes', 'Touchscreen Type': 'Capacitive', 'Removable Battery': 'No', 'SMS': 'Yes', 'Audio Formats': 'MP3', 'Battery Capacity': '2920 mAh', 'Battery Type': 'Li-Polymer', 'Width': '70 mm', 'Height': '142 mm', 'Depth': '7.7 mm', 'Weight': '138.5 g', 'Warranty Summary': 'Brand Warranty of 2 Year Available for Mobile and 6 Months for Accessories'}",7297
"Micromax Canvas Mega 4G (Blue, 16 GB)  (3 GB RAM)",3.9,"7,811 Ratings","1,611 Reviews","{'In The Box': 'One each of Transceiver, Battery, Charger, Handsfree, USB Cable, User Guide, Warranty Card, Screen Guard', 'Model Number': 'Q417', 'Model Name': 'Canvas Mega 4G', 'Color': 'Blue', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Touchscreen': 'Yes', 'Additional Content': '64', 'Display Size': '13.97 cm (5.5 inch)', 'Resolution': '1280 x 720 Pixels', 'Resolution Type': 'HD', 'Operating System': 'Android Lollipop 5.1', 'Processor Type': 'MT6735', 'Processor Core': 'Quad Core', 'Primary Clock Speed': '1.3 GHz', 'Internal Storage': '16 GB', 'RAM': '3 GB', 'Expandable Storage': '32 GB', 'Memory Card Slot Type': 'Dedicated Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '13MP Rear Camera', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '5MP Front Camera', 'Flash': 'LED', 'Network Type': '4G', 'Supported Networks': 'UMTS, 4G LTE', 'Battery Capacity': '2500 mAh', 'Width': '75 mm', 'Height': '147 mm', 'Depth': '8 mm', 'Weight': '145 g', 'Warranty Summary': '1 Year Manufacturer Warranty'}",4790
