3G,4G,5G,Audio Jack,Battery,Bluetooth,Brand Name,Color,CPU Clock Speed,CPU Cores,Display Resolution,Display Size,Display Type,Expandable Storage,Flash,Fingerprint Scanner,Fingerprint Scanner Type,GPS,GPU Name,Hybrid Slot,Internal Storage,Model Name,Model No,Name,No of Front Cameras,No of Rear Cameras,OS,OTG Compatible,Primary Camera,RAM,Ratings,Reviews,Stars,Secondary Camera,Sim Type,Sim Size,Touchscreen,Weight,WiFi
Yes,,,,Li-Polymer,,Panasonic,Russet Brown,1.3 GHz,Quad Core,1280 x 720 Pixels,12.7 cm (5 inch),HD,32 GB,LED,,,Yes,,No,16 GB,P66 Mega,,Panasonic P66 Mega,1.0,1,Android Lollipop 5.1,No,8MP,2 GB,5582,926,3.5,5MP,Dual Sim,,Yes,,Yes
HSPA+,YES,,3.5mm,5000 mAh,v5.0,OPPO,Marine Green,1.8 GHz,Octa Core,1600 x 720 Pixels,16.51 cm (6.5 inch),TFT-LCD,,Rear LED Flash,,,,Adreno 610,No,128 GB,A9 2020,CPH1937,OPPO A9 2020,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,4 GB,2227,212,4.4,16MP,Dual Sim,Dual Nano SIM,"Capacitive Screen, Multi-touch",195 g,802.11a/b/g/n/ac
Yes,YES,,,3000 mAh,4,OPPO,Black,1.8 GHz,Octa Core,1920 x 1080 Pixels,13.21 cm (5.2 inch),HD,256 GB,,,,GLONASS,,No,16 GB,A71k (New Edition),CPH1801,OPPO A71 New Edition,1.0,1,Android Nougat 7.1,No,13MP,3 GB,11702,807,4.4,5MP,Dual Sim,Nano SIM and Nano SIM,Yes,137 g,Yes
HSPA+,YES,,3.5mm,4000 mAh,4.2,Lenovo,Fine Gold,2.3 GHz,Deca Core,1920 x 1080 pixels,13.97 cm (5.5 inch),IPS,128 GB,Rear CCT LED Flash and Front Selfie Light,Yes,,A-GPS,Mali T880 MP4 at 780 MHz,No,64 GB,K8 Note,XT 1902-3,Lenovo K8 Note,1.0,2,Android Nougat 7.1,Yes,13MP 5MP,4 GB,46951,6354,4.1,13MP,Dual Sim,Dual Nano SIM,Yes,180 g,Yes
YES,,,,1500 mAh,,Itel,Black & Gold,1.2 GHz,Quad Core,480 x 800 Pixels,10.16 cm (4 inch),,,,,,,,No,8 GB,1409,1409,Itel 1409,,1,Android Lollipop 5.1,No,2MP,512 MB,56,7,3.7,,Dual Sim,,Yes,,
Yes,YES,,Yes,No,Yes,Seeken,White,1.3 GHz,Quad Core,1280 x 720 Pixels,12.7 cm (5 inch),IPS,32 MB,Yes,,,Yes,,No,8 GB,SG-1,SG-1,Seeken SG-1,,1,Android Marshmallow 6,NO,8MP,1 GB,3,0,3.7,,Dual Sim,,Yes,,Yes
Yes,YES,,Yes,No,Yes,Seeken,Black,1.3 GHz,Quad Core,1280 x 720 Pixels,12.7 cm (5 inch),IPS,32 GB,Yes,,,Yes,,No,8 GB,SG-1,SG-1,Seeken SG-1,,1,Android Marshmallow 6,NO,8MP,1 GB,3,0,3.7,,Dual Sim,,Yes,,Yes
YES,YES,,3.5mm,4000 mAh,v4.2,OPPO,Sky White,2.1 GHz,Octa Core,2400 x 1080 Pixels,16.51 cm (6.5 inch),AMOLED,,Rear Flash,,,"BeiDou, GLONASS",ARM Mali-G72 MP3 900MHz,No,128 GB,Reno2 F,CPH1989,OPPO Reno2 F,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,8 GB,1664,158,4.5,16MP,Dual Sim,Dual Nano SIM,Multi-touch Capacitive Screen,195 g,802.11a/b/g/n/ac
Yes,YES,,3.5 mm,No,4.2,Kekai,Red,1.3 GHz,Quad Core,720 x 1080$$Pixels,13.97 cm (5.5 inch),IPS,32 GB,Yes,,,Yes,,No,16 GB,Candy Gio,Candy Gio,Kekai Candy Gio,,1,No,Yes,5MP,1 GB,25,3,2.7,,Dual Sim,Micro SIM,Yes,,Yes
Yes,YES,,3.5 mm,3000 mAh,4,Vivo,Matte Black,1.5 GHz,Octa Core,1920 x 1080,13.97 cm (5.5 inch),IPS,256 GB,Yes,,,Yes,ARM MaIi - T860 MP2,Yes,32 GB,Y66,1609,Vivo Y66,1.0,1,Android Marshmallow 6,Yes,13MP,3 GB,4503,740,4.3,16MP,Dual Sim,Micro SIM and Nano SIM,Yes,155 g,Yes
