3G,4G,5G,Audio Jack,Battery,Bluetooth,Brand Name,Color,CPU Clock Speed,CPU Cores,Display Resolution,Display Size,Display Type,Expandable Storage,Flash,Fingerprint Scanner,Fingerprint Scanner Type,GPS,GPU Name,Hybrid Slot,Internal Storage,Model Name,Model No,Name,No of Front Cameras,No of Rear Cameras,OS,OTG Compatible,Primary Camera,RAM,Ratings,Reviews,Stars,Secondary Camera,Sim Type,Sim Size,Touchscreen,Weight,WiFi
YES,YES,,,3000 mAh,,Alcatel,Blue,1.28 GHz,Quad Core,1440 x 720$$Pixels,14.48 cm (5.7 inch),,,,,,,,Yes,32 GB,3X,5058,Alcatel 3X,,1,Android Nougat 7.1.1,No,16MP,3 GB,53,10,3.9,,Dual Sim,,Yes,,
YES,YES,,3.5mm,4000 mAh,v4.2,OPPO,Sky White,2.1 GHz,Octa Core,2400 x 1080 Pixels,16.51 cm (6.5 inch),AMOLED,,Rear Flash,,,"BeiDou, GLONASS",ARM Mali-G72 MP3 900MHz,No,128 GB,Reno2 F,CPH1989,OPPO Reno2 F,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,8 GB,1664,158,4.5,16MP,Dual Sim,Dual Nano SIM,Multi-touch Capacitive Screen,195 g,802.11a/b/g/n/ac
YES,YES,,,No,,Nokia,Gold,1.2 GHz,,1080 x 2160$$Pixels,13.97 cm (5.5 inch),,,,,,,,Yes,32 GB,5.1,5.1,Nokia 5.1,,1,Android Oreo 8.1,Yes,16MP,3 GB,319,22,4.0,,Dual Sim,,Yes,,
Yes,YES,,,4000 mAh,4,Panasonic,Silver,1.3 GHz,Quad Core,1280 x 720 Pixels,13.97 cm (5.5 inch),IPS On Cell,128 GB,LED Flash,,,A-GPS,,Yes,16 GB,Eluga I3 Mega,EB-90S55EYMH,Panasonic Eluga I3 Mega,1.0,1,Android Marshmallow 6,Yes,13MP,3 GB,158,27,3.5,5MP,Dual Sim,Micro SIM and Nano SIM,Yes,180 g,Yes
Yes,YES,,3.5 mm,4000 mAh,4.1,Moto,Pearl White,1.3 GHz,Quad Core,1280 x 720 Pixels,12.7 cm (5 inch),TFT LCD IPS,32 GB,Front and Rear Flash,,,A-GPS,,No,16 GB,Moto C Plus,XT1721,Moto C Plus,1.0,1,Android Nougat 7,No,8MP,2 GB,359669,54753,4.1,2MP,Dual Sim,Nano SIM and Nano SIM,Yes,151 g,802.11 b/g/n
HSPA+ 42.2 Mbps,YES,,3.5 mm,Li-Ion,4.1,Samsung,Gold,1.4 GHz,Quad Core,1920 x 1080,12.7 cm (5 inch),TFT,256 GB,LED,,,Yes,ARM Mali T720 MP1,No,32 GB,Galaxy J5 Prime,SM-G570FZDGINS,Samsung Galaxy J5 Prime,1.0,1,Android Marshmallow 6,Yes,13MP,3 GB,3273,413,4.3,5MP,Dual Sim,Micro SIM,Capacitive,,802.11 b/g/n
HSPA Data Rate - 42 Mbps / 5.76 Mbps,YES,,3.5 mm,3200 mAh,4,OPPO,Rose Gold,1.5 GHz,Octa Core,1920 x 1080 pixels,13.97 cm (5.5 inch),Full HD,128 GB,Yes,Yes,,Yes,Mali T86 MP2,No,64 GB,F3,CPH1609,OPPO F3,2.0,1,Android Marshmallow 6,Yes,13MP,4 GB,52193,8826,4.3,16MP 8MP,Dual Sim,Nano SIM and Nano SIM,Capacitive,153 g,Yes
Yes,,,3.5 mm,Li-Polymer,4,Lava,Black,1.3 GHz,Quad Core,1920 x 1080,13.97 cm (5.5 inch),quarter HD,32 GB,Yes,,,Yes,,,8 GB,Iris Alfa L,,Lava Iris Alfa L,1.0,1,Android Lollipop 5,,8MP,1 GB,274,36,3.7,2MP,Dual Sim,,Capacitive,165 g,802.11 b/g/n
YES,YES,,,2150 mAh,,Nokia,Warm Red,1.1 GHz,Quad Core,480 x 854 Pixels,11.43 cm (4.5 inch),,,,,,,,No,8 GB,1,TA-1066 / Nokia 1DS,Nokia 1,,1,Android Oreo 8,Yes,5MP,1 GB,13206,1599,3.9,,Dual Sim,,Yes,,
YES,YES,,,2000 mAh,,Itel,Black & Gold,1.3 GHz,Quad Core,480 x 854 Pixels,11.43 cm (4.5 inch),,,,,,,,No,8 GB,A21,A21,Itel A21,,1,Android Marshmallow 6,No,5MP,1 GB,14,1,4.0,,Dual Sim,,Yes,,
Yes,YES,,3.5 mm,Li-Ion,4.2,Samsung,Gold Platinum,2.3 GHz,Octa Core,3840 x 2160,13.97 cm (5.5 inch),Super AMOLED,200 GB,LED,Yes,,,,,32 GB,Galaxy S7 Edge,SM-G935FZDUINS/SM-G935FZSUINS/ SM-G935FZKUINS,Samsung Galaxy S7 Edge,1.0,1,Android Marshmallow 6,,12MP,4 GB,3780,572,4.4,5MP,Dual Sim,Nano SIM,Yes,157 g,802.11 a/b/g/n/ac
Yes,YES,,3.5 mm,No,Yes,Tecno,Gold,1.5 GHz,Quad Core,1280 x 720 Pixels,13.97 cm (5.5 inch),,128 GB,,,,Yes,,Yes,32 GB,i5 PRO,i5 PRO,Tecno i5 PRO,,1,Android Nougat 7,Yes,13MP,3 GB,21,5,4.1,,Dual Sim,,Capacitive,,Yes
YES,YES,,,2450 mAh,,Ziox,Black,1.3 GHz,Dual Core,480 x 854 Pixels,12.7 cm (5 inch),,,,,,,,Yes,8 GB,Astra 4G,Astra 4G,Ziox Astra 4G,,1,Android Marshmallow 6,No,5MP,1 GB,4,3,3.8,,Dual Sim,,Yes,,
Yes,YES,,3.5 mm,2600 mAh,Yes,Ismart,Blue,1.3 GHz,Quad Core,1920 x 1080$$Pixels,13.97 cm (5.5 inch),LCD,32 GB,Front & Back Flash,,,Yes,,No,16 GB,i1 Mega,i1 Mega,Ismart i1 Mega,1.0,1,Android Nougat 7,No,5MP,2 GB,30,8,3.4,5MP,Dual Sim,Micro,Capacitive,145 g,Yes
Yes,YES,,3.5mm,No,4.2,Samsung,Black,1.4 GHz,Quad Core,1920 x 1080 pixels,15.24 cm (6 inch),TFT,512 GB,Front and Rear LED Flash,Yes,,"GLONASS, BeiDou",Qualcomm Adreno 308,No,64 GB,Galaxy J6 Plus,SM-J610FZKGINS,Samsung Galaxy J6 Plus,1.0,2,Android Oreo 8.1,Yes,13MP 5MP,4 GB,4842,406,4.3,8MP,Dual Sim,Nano SIM,Multi-touch,178 g,Yes
HSPA+ 42.2 Mbps,YES,,3.5 mm,Li-Ion,v4.1,Samsung,Black,1.6 GHz,Octa Core,1920 x 1080 pixel,13.97 cm (5.5 inch),TFT,256 GB,Yes,,,Yes,ARM Mali T830 MP1,No,16 GB,Galaxy J7 Prime,SM-G610FZKDINS,Samsung Galaxy J7 Prime,1.0,1,Android Marshmallow 6,Yes,13MP,3 GB,19289,3337,4.2,8MP,Dual Sim,Micro SIM,Capacitive,,802.11 b/g/n
HSPA+,YES,,3.5 mm,3000 mAh,4.2,Moto,Lunar Gray,1.4 GHz,Octa Core,1920 x 1080 Pixel,13.21 cm (5.2 inch),IPS,128 GB,Front and Rear LED Flash,Yes,,"A-GPS, GLONASS",Adreno 505 with GPU Supporting Upto 450 MHz Core,Yes,32 GB,Moto G5s,XT1795,Moto G5s,1.0,1,Android Nougat 7.1.1,Yes,16MP,4 GB,12704,1482,4.1,5MP,Dual Sim,Nano SIM and Nano SIM,Yes,157 g,802.11 a/b/g/n
YES,,,,2400 mAh,,Itel,Champagne Gold,1.2 GHz,Dual Core,854 x 480 Pixels,12.7 cm (5 inch),,,,,,,,No,8 GB,IT 1508,It 1508,Itel IT 1508,1.0,1,Android Lollipop 5.1,No,5MP,512 MB,49,10,3.7,2MP,Dual Sim,,Yes,,
Yes,YES,,3.5 mm,Li-Ion,4.2,Samsung,Gold Platinum,2.3 GHz,Octa Core,3840 x 2160,12.95 cm (5.1 inch),Super AMOLED,200 GB,LED,Yes,,,,Yes,32 GB,Galaxy S7,SM-G930FZKUINS/SM-G930FZSUINS/SM-G930FZDUINS,Samsung Galaxy S7,1.0,1,Android Marshmallow 6,Yes,12MP,4 GB,31676,5783,4.4,5MP,Dual Sim,Nano SIM,Yes,152 g,802.11 a/b/g/n/ac
21 Mbps HSDPA; 5.76 Mbps HSUPA,YES,,3.5 mm,Li-Ion,2.1,Lava,White,1.5 GHz,Quad Core,854 x 480 Pixels,11.43 cm (4.5 inch),TFT,32 GB,LED,,,,,,8 GB,A76 4G,,Lava A76 4G,1.0,1,Android Lollipop 5.1,,5MP,1 GB,445,82,3.5,0.3MP,Dual Sim,,Capacitive,135 g,802.11 b/g/n
Yes,YES,,3.5 mm,Li-Ion,Yes,Zen,Coffee & Black,1.3 GHz,Quad Core,720 x 1280 Pixels,12.7 cm (5 inch),,32 GB,Back Flash,,,No,,No,16 GB,Admire Snap,Admire Snap,Zen Admire Snap,1.0,1,Android Marshmallow 6,Yes,8MP,2 GB,11,6,2.5,5MP,Dual Sim,,Yes,125 g,Yes
Yes,YES,,,Li-Polymer,4,Gionee,White,1.3 GHz,Quad Core,1920 x 1080,12.7 cm (5 inch),HD,128 GB,LED,,,A-GPS,,No,16 GB,F103 Pro,F103 Pro,Gionee F103 Pro,1.0,1,Android Marshmallow 6,Yes,13MP,3 GB,2769,617,3.9,5MP,Dual Sim,Micro SIM,Capacitive,142 g,Yes
Yes,,,3.3 mm,Li-ion,,Celkon,Grey & Gold,1.2 MHz,Single Core,480 x 800 Pixels,11.43 cm (4.5 inch),TFT,32 GB,Yes,,,Yes,,,16 MB,2GB Xpress,2GB Xpress,Celkon 2GB Xpress,,1,"Android KitKat v4.4.2, up to v5.0",,5MP,2 MB,3,1,2.0,,Dual Sim,,Capacitive,165 g,Yes
Yes,YES,,3.5 mm,No,Yes,Celkon,Black & Gold,1.3 GHz,Quad Core,720 x 1280 Pixels,12.7 cm (5 inch),HD,32 GB,Yes,,,,,No,16 GB,UFEEL,UFeel,Celkon UFEEL,1.0,1,Android Nougat 7,No,8MP,2 GB,58,13,3.7,5MP,Dual Sim,Micro SIM,Yes,,Yes
YES,YES,,,3750 mAh,,tecno,Gold,2 GHz,Octa Core,720 x 1440$$Pixels,15.24 cm (6 inch),,,,,,,,Yes,64 GB,Camon i Click,Camon i Click,tecno Camon i Click,,1,Android Oreo 8.1,Yes,16MP,4 GB,26,3,4.4,,Dual Sim,,Yes,,
"HSDPA Category and Maximum DL: Cat 24 42.2 Mbps, HSUPA Category and Maximum UL: Cat 6 5.76 Mbps",YES,,3.5 mm,3000 mAh,4.1,Panasonic,Gold,1.4 GHz,Octa Core,1920 x 1080 pixels,13.21 cm (5.2 inch),IPS,128 GB,Front and Rear Flash,,,"A-GPS, GLONASS",Adreno 505 at 450 MHz,No,32 GB,Eluga Ray Max,EB-90S52ERM / EB-90S52ERMN,Panasonic Eluga Ray Max,1.0,1,Android Marshmallow 6,Yes,16MP,4 GB,15094,4335,3.7,8MP,Dual Sim,Micro SIM and Micro SIM,Capacitive,165 g,Yes
YES,YES,,,2000 mAh,,Alcatel,Blue,1.28 GHz,Quad Core,960 x 480$$Pixels,12.7 cm (5 inch),,,,,,,,No,8 GB,1,5033S,Alcatel 1,,1,Android Oreo 8.1,No,8MP,1 GB,11,3,2.6,,Dual Sim,,CAPACITIVE,,
HSPA+,YES,,,4230 mAh,4.2,OPPO,Red,1.8 GHz,Octa Core,1520 x 720 Pixels,15.75 cm (6.2 inch),IPS in-cell,256 GB,Rear Flash LED,,,Yes,,No,32 GB,A3s,CPH1803,OPPO A3s,1.0,2,Android Oreo 8.1,Yes,13MP 2MP,3 GB,24565,1941,4.3,8MP,Dual Sim,Nano SIM,Yes,168 g,Yes
Yes,YES,,3.5 mm,Li-Polymer,4.2,Mobiistar,Black,1.3 GHz,Quad Core,1920 x 1080,13.84 cm (5.45 inch),HD+,128 GB,,,,Yes,PowerVR Rogue GE8100,Yes,32 GB,E1 Selfie,E1 Selfie,Mobiistar E1 Selfie,1.0,1,Android Oreo 8.1,Yes,13MP,3 GB,491,54,3.9,13MP,Dual Sim,Nano SIM,Yes,,Yes
HSPA+,YES,,3.5mm,5000 mAh,v5.0,OPPO,Space Purple,1.8 GHz,Octa Core,1600 x 720 Pixels,16.51 cm (6.5 inch),TFT-LCD,,Rear LED Flash,,,,Adreno 610,No,128 GB,A9 2020,CPH1937,OPPO A9 2020,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,4 GB,2227,212,4.4,16MP,Dual Sim,Dual Nano SIM,"Capacitive Screen, Multi-touch",195 g,802.11a/b/g/n/ac
YES,YES,,3.5 mm,2500 mAh,,ZOPO,Orchid Gold,1.3 GHz,Quad Core,1280 x 720 Pixels,13.97 cm (5.5 inch),HD,,Single LED,,,,ARM Mali T720-MP1 650MHz,Yes,16 GB,Color - X5.5,Color - X5.5,ZOPO Color - X5.5,1.0,1,Android Marshmallow 6,Yes,8MP,3 GB,61,12,3.6,5MP,Dual Sim,Micro SIM and Nano SIM,Capacitive,167 g,
YES,YES,,,4000 mAh,Yes,Samsung,Gold,1.6 GHz,Octa Core,720 x 1560 pixels,16.26 cm (6.4 inch),Super AMOLED,512 GB,,Yes,,Yes,,No,32 GB,Galaxy A20,SM-A205FZDGINS,Samsung Galaxy A20,1.0,2,Android Pie 9,Yes,13MP 5MP,3 GB,14948,1316,4.3,8MP,Dual Sim,,Yes,169 g,Yes
Yes,YES,,3.5 mm,3080 mAh,4.2,Mi,Black,2 GHz,Octa Core,3840 x 2160 Pixels,13.97 cm (5.5 inch),IPS,128 GB,,Yes,,"GLONASS, BeiDou",Adreno 506,Yes,64 GB,Mi A1,MZB5645IN/MZB5717IN,Mi A1,1.0,2,Android Nougat 7.1.2,Yes,12MP 12MP,4 GB,465737,73251,4.4,5MP,Dual Sim,Nano SIM and Nano SIM,Yes,165 g,802.11 b/g/n/ac
HSPA+,YES,,3.5mm,4000 mAh,v4.2,OPPO,Unicorn White,2.1 GHz,Octa Core,2400 x 1080 Pixels,16.26 cm (6.4 inch),AMOLED,256 GB,,Yes,In-Display,"A-GPS, GLONASS, BeiDou",ARM Mali G72 MP3 900 MHz,No,128 GB,F15,CPH2001,OPPO F15,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,8 GB,4430,460,4.4,16MP,Dual Sim,Dual Nano SIM,Multi-touch Capacitive Screen,172 g,Yes
Yes,,,3.5 mm,2100 mAh,,XOLO,Black,1.4 GHz,Octa Core,1280 x 720 Pixels,12.7 cm (5 inch),IPS,32 GB,,,,,,,8 GB,Omega 5.0,5.0,XOLO Omega 5.0,1.0,1,Android KitKat 4.4,,8MP,1 GB,550,81,3.8,2MP,Dual Sim,,,,Yes
Yes,YES,,,2000 mAh,4,Panasonic,White,1 GHz,Quad Core,1280 x 720 Pixels,12.7 cm (5 inch),IPS,32 GB,LED,,,A-GPS,,Yes,16 GB,P77,EB-90S50P77C,Panasonic P77,1.0,1,Android Lollipop 5.1,No,8MP,1 GB,7216,1138,3.7,2MP,Dual Sim,Micro SIM and Nano SIM,Yes,126 g,Yes
"HSDPA (Downlink Speed) - 150 Mbps, HSUPA (Uplink Speed) - 50 Mbps",YES,,3.5 mm,1800 mAh,4,Micromax,Grey,1.3 GHz,Quad Core,1280 x 720,11.43 cm (4.5 inch),WVGA,32 GB,Rear Flash,,,Yes,Mali MP2 at 512 MHz,No,8 GB,Vdeo 2,Q4101,Micromax Vdeo 2,1.0,1,Android Marshmallow 6,No,5MP,1 GB,11998,1307,3.8,2MP,Dual Sim,Micro SIM and Micro SIM,Yes,,Yes
Yes,YES,,3.5 mm,Li-ion,v5.0,Samsung,Maple Gold,2.3 GHz,Octa Core,2960 x 1440 pixels,15.75 cm (6.2 inch),Super AMOLED,256 GB,Single LED Flash (Rear),Yes,,,,Yes,64 GB,Galaxy S8 Plus,SM-G955FZDDINS,Samsung Galaxy S8 Plus,1.0,1,Android Nougat 7,Yes,12MP,4 GB,1992,341,4.6,8MP,Dual Sim,Nano SIM (4FF),Yes,,Yes
YES,YES,,,3000 mAh,4.2,Alcatel,Spectrum Blue,1.45 GHz,Quad Core,1080P,15.24 cm (6 inch),IPS,128 GB,Rear LED Flash and Front LED Flash,Yes,,Yes,Mali T720 MP2,No,32 GB,3V,,Alcatel 3V,1.0,2,Android Oreo 8,Yes,16MP 5MP,3 GB,1962,355,3.6,8MP,Dual Sim,Nano SIM,Capacitive,155 g,Yes
HSPA+,YES,,3.5mm,5000 mAh,v5.0,OPPO,Space Purple,1.8 GHz,Octa Core,1600 x 720 Pixels,16.51 cm (6.5 inch),TFT-LCD,,Rear LED Flash,,,,Adreno 610,No,128 GB,A9 2020,CPH1937,OPPO A9 2020,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,8 GB,4235,360,4.3,16MP,Dual Sim,Dual Nano SIM,"Capacitive Screen, Multi-touch",195 g,802.11a/b/g/n/ac
YES,YES,,3.5 mm,2800 mAh,4,Intex,Black,1.25 GHz,Quad Core,1280 x 720 Pixels,13.97 cm (5.5 inch),IPS,128 GB,Dual LED Flash and Flash,,,A-GPS,,No,16 GB,Aqua 5.5 VR Plus,Intex Aqua 5.5 VR Plus,Intex Aqua 5.5 VR Plus,1.0,1,Android Nougat 7,No,8MP,2 GB,10013,1941,3.7,5MP,Dual Sim,Micro SIM and Micro SIM,Yes,177 g,Yes
"42 Mbps HSDPA; 5.76 Mbps HSUPA, HSPA+",YES,,3.5 mm,3000 mAh,4.2,Huawei,Mystic Silver,2.5 GHz,Octa Core,1920 x 1080,13.21 cm (5.2 inch),Full HD,128 GB,Dual Tone LED,Yes,,Yes,,,32 GB,P9,EVA-L09,Huawei P9,1.0,2,Android Marshmallow 6,Yes,12MP 12MP,3 GB,843,273,4.5,8MP,Single Sim,Nano SIM,Capacitive,,Yes
Yes,YES,,,4000 mAh,4.2,Infinix,Sandstone Black,1.4 GHz,Octa Core,1920 x 1080,14.35 cm (5.65 inch),IPS In-cell,128 GB,Front & Rear Dual LED Flash,Yes,,A-GPS,,No,32 GB,Hot S3,X573,Infinix Hot S3,1.0,1,Android Oreo 8,Yes,13MP,3 GB,51458,11945,4.2,20MP,Dual Sim,Nano SIM and Nano SIM,Yes,150 g,Yes
HSPA+,YES,,3.5mm,5000 mAh,v5.0,OPPO,Marine Green,1.8 GHz,Octa Core,1600 x 720 Pixels,16.51 cm (6.5 inch),TFT-LCD,,Rear LED Flash,,,,Adreno 610,No,128 GB,A9 2020,CPH1937,OPPO A9 2020,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,4 GB,2227,212,4.4,16MP,Dual Sim,Dual Nano SIM,"Capacitive Screen, Multi-touch",195 g,802.11a/b/g/n/ac
21.1 Mbps HSDPA; 11.5 Mbps HSUPA,,,3.5 mm,2000 mAh,3,XOLO,White,1.2 GHz,Quad Core,480 x 854 Pixels,11.43 cm (4.5 inch),TFT,32 GB,,,,No,PowerVR SGX 544,,4 GB,Q600,,XOLO Q600,1.0,1,Android Jelly Bean 4.2,,5MP,512 MB,122,37,4.1,0.3MP,Dual Sim,,Capacitive,,802.11 b/g/n
Yes,YES,,,2500 mAh,4.1,Panasonic,Black,1.3 GHz,Quad Core,960 x 480 pixels,13.84 cm (5.45 inch),IPS,128 GB,Rear and Front Flash,,,A-GPS,,No,16 GB,P101,EB-90S54PC1K,Panasonic P101,1.0,1,Android Nougat 7.1,Yes,8MP,2 GB,8132,903,4.0,5MP,Dual Sim,Micro SIM and Micro SIM,Yes,145 g,Yes
Yes,YES,,,4000 mAh,v5.0,Infinix,Violet,2 GHz,Octa Core,720 x 1600 Pixels,16.76 cm (6.6 inch),IPS,256 GB,Rear Quad LED Flash and Front Screen Flash,Yes,,A-GPS,,No,64 GB,S5 Lite,X652B,Infinix S5 Lite,1.0,2,Android Pie 9,Yes,16MP 2MP,4 GB,32377,3591,4.3,16MP,Dual Sim,Nano SIM + Nano SIM,Yes,178 g,Yes
YES,YES,,,3000 mAh,,Samsung,Gold,1.6 GHz,Octa Core,720 x 1480 Pixels,14.22 cm (5.6 inch),,,,,,,,No,64 GB,Galaxy A6,SM-A600GZDHINS,Samsung Galaxy A6,1.0,1,Android Oreo 8,Yes,16MP,4 GB,647,67,4.4,16MP,Dual Sim,,Yes,,
Yes,YES,,,3000 mAh,Yes,lychee,Pink,605 MHz,Dual Core,320 x 480$$pixels,13.97 cm (5.5 inch),,,,,,,,No,16 GB,LycheeT,Lychee t1,lychee LycheeT,1.0,1,Quad core,yes,8MP,2 GB,5,0,2.2,11MP,Dual Sim,,Yes,,Yes
YES,YES,,,Li- ion,4,ZOPO,White,1.3 GHz,Octa Core,1080p,13.97 cm (5.5 inch),Full-HD (1920 x 1080),64 GB,Front & Back flash,,,Yes,,Yes,16 GB,Speed 7 Plus,ZP952,ZOPO Speed 7 Plus,,1,Android Lollipop 5.1,Yes,13.2MP,3 GB,18,4,2.8,,Dual Sim,,FHD IPS 5-point multi-touch capacitive touchscreen,,Yes
Yes,YES,,,3340 mAH,4.1,Honor,Gold,2.36 GHz,Octa Core,1080 x 2160 Pixels,15.06 cm (5.93 inch),Full HD+,256 GB,,Yes,,Yes,Mali-T830,Yes,32 GB,7X,BND-AL10,Honor 7X,1.0,2,Android Nougat 7,Yes,16MP 2MP,4 GB,2464,238,4.3,8MP,Dual Sim,Nano SIM and Nano SIM,Capacitive,,Yes
Yes,YES,,,3340 mAH,4.1,Honor,Red,2.36 GHz,Octa Core,1080 x 2160 Pixels,15.06 cm (5.93 inch),Full HD+,256 GB,,Yes,,Yes,Mali-T830,Yes,32 GB,7X,BND-AL10,Honor 7X,1.0,2,Android Nougat 7,Yes,16MP 2MP,4 GB,2464,238,4.3,8MP,Dual Sim,Nano SIM and Nano SIM,Capacitive,,Yes
YES,YES,,,3340 mAh,,Honor,Gold,2.3 GHz,Octa Core,1080x2160 Pixels,15.06 cm (5.93 inch),,,Yes,,,,,Yes,64 GB,7X,BND-AL10,Honor 7X,,1,Android Nougat 7,Yes,16MP,4 GB,2464,238,4.3,,Dual Sim,,Yes,,
Yes,YES,,,3340 mAH,4.1,Honor,Black,2.36 GHz,Octa Core,1080 x 2160 Pixels,15.06 cm (5.93 inch),Full HD+,256 GB,,Yes,,A-GPS / GLONASS,Mali-T830,Yes,32 GB,7X,BND-AL10,Honor 7X,1.0,2,Android Nougat 7,Yes,16MP 2MP,4 GB,2464,238,4.3,8MP,Dual Sim,Nano SIM and Nano SIM,Capacitive,,Yes
Yes,YES,,,3340 mAH,4.1,Honor,Blue,2.36 GHz,Octa Core,1080 x 2160 Pixels,15.06 cm (5.93 inch),Full HD+,256 GB,,Yes,,A-GPS / GLONASS,Mali-T830,Yes,32 GB,7X,BND-AL10,Honor 7X,1.0,2,Android Nougat 7,Yes,16MP 2MP,4 GB,2464,238,4.3,8MP,Dual Sim,Nano SIM and Nano SIM,Capacitive,,Yes
Yes,YES,,,3340 mAH,4.1,Honor,Black,2.36 GHz,Octa Core,1080 x 2160 Pixels,15.06 cm (5.93 inch),Full HD+,256 GB,,Yes,,A-GPS / GLONASS,Mali-T830,Yes,64 GB,7X,BND-AL10,Honor 7X,1.0,2,Android Nougat 7,Yes,16MP 2MP,4 GB,2464,238,4.3,8MP,Dual Sim,Nano SIM and Nano SIM,Capacitive,,Yes
Yes,,,3.5 mm,Li-Ion,2.1,Blackberry,Black,,,320 x 240 Pixels,6.25 cm (2.46 inch),TFT,32 GB,,,,A-GPS,,,512 MB,Curve 9330,,Blackberry Curve 9330,,1,Blackberry 6,,2MP,512 MB,27,3,3.4,,Single Sim,,,104 g,802.11 b/g
YES,YES,,3.5mm,Li-Ion,Yes,Karbonn,Champagne,1.3 GHz,Quad Core,854 x 480 Pixels,12.7 cm (5 inch),FWVGA,128 GB,LED Flash,,,,,No,16 GB,K9 Music,K9 Music 4G,Karbonn K9 Music,1.0,1,Android Nougat 7,Yes,8MP,1 GB,605,79,3.8,5MP,Dual Sim,,Yes,170 g,Yes
21.1 Mbps HSDPA; 5.76 Mbps HSUPA,,,3.5 mm,2070 mAh,4,Moto,White,1.2 GHz,Quad Core,720 x 1280,12.7 cm (5 inch),IPS LCD,32 GB,LED,,,"A-GPS, aGPS, Standalone GPS, sGPS, GLONASS","Adreno 305, 450 MHz Single Core",,16 GB,Moto G (2nd Generation),XT1068,Moto G,1.0,1,5.0 (Lollipop)(OTA Upgrade),,8MP,1 GB,158338,17434,4.2,2MP,Dual Sim,Micro SIM,Yes,149 g,Yes
YES,YES,,,3000 mAh,Yes,VOTO,Champagne,1.3 GHz,Quad Core,1280 x 720 pixels,12.7 cm (5 inch),HD,,Auto Flash,,,,,No,16 GB,V12,,VOTO V12,1.0,1,Android Nougat 7.1,No,13MP,2 GB,122,14,3.6,5MP,Dual Sim,Nano SIM,Capacitive,,Yes
7.2 Mbps HSDPA,YES,,3.5mm,No,4,ZOPO,Black,1.3 GHz,Octa Core,"1080P(1920X1080, 30FPS)",12.7 cm (5 inch),"Capacitive Multi-Touch Screen , IPS, GFF",64 GB,Yes,,,Yes,MALI 450,,16 GB,ZP951 Speed 7 16GB - Black,ZP951,ZOPO ZP951 Speed 7 16GB - Black,1.0,1,5.1 Lollipop,,13.2MP,3 GB,26,9,3.7,5MP,Dual Sim,Micro SIM,"Capacitive Multi-Touch Screen , IPS, GFF",136 g,Yes
Yes,YES,,,3180 mAh,4.2,OPPO,Black,2.5 GHz,Octa Core,1920 x 1080 Pixels,14.48 cm (5.7 inch),TFT,256 GB,Rear Flash,,,A-GPS,,No,32 GB,A83,CPH1729,OPPO A83,1.0,1,Android Nougat 7.1,Yes,13MP,3 GB,1935,256,4.3,8MP,Dual Sim,,Yes,143 g,802.11 a/b/g/n (2.4G / 5G Dual-band)
YES,YES,,,2400 mAh,Yes,Itel,Champagne Gold,1.3 GHz,Quad Core,480 x 854 Pixels,12.7 cm (5 inch),,,Yes,,,Yes,,No,16 GB,A41 Plus,A41 Plus,Itel A41 Plus,1.0,1,Android Marshmallow 6,No,5MP,2 GB,92,5,3.9,5MP,Dual Sim,,Yes,,Yes
Yes,YES,,3.5mm,Li-polymer,4,ZOPO,White,1.3 GHz,Quad Core,720*1080,12.7 cm (5 inch),HD,64 GB,,,,,ARM Mali-T720 MP1 450MHz GPU,Yes,8 GB,Color E ZP350,Color E ZP350,ZOPO Color E ZP350,,1,Android Lollipop 5.1,Yes,8MP,1 GB,24,7,3.3,,Dual Sim,Micro SIM,Capacitive Multi-touch 2 Points,130 g,Yes
,YES,,,2700 mAh,,Spice,Camellia White,1.25 GHz,Quad Core,720 x 1280 Pixels,12.7 cm (5 inch),,,,,,,,Yes,16 GB,V801,V801,Spice V801,,1,Android Nougat 7,No,8MP,3 GB,6,0,3.5,,Dual Sim,,Yes,,
Yes,,,3.5 mm,Li-ion,Yes,Intex,Pink,1.3 GHz,Single Core,720 x 1280 Pixels,11.94 cm (4.7 inch),IPS,32 GB,Yes,,,,,,8 GB,Aqua Glam,Aqua Glam,Intex Aqua Glam,1.0,1,Android Lollipop 5.1,,8MP,1 GB,32,7,2.8,8MP,Dual Sim,Micro SIM,Capacitive,116.2 g,Yes
YES,YES,,,2400 mAh,,Intex,Black,1.3 GHz,Quad Core,720 x 1280 Pixels,12.7 cm (5 inch),,,Yes,,,,,No,16 GB,Staari 11,Staari 11,Intex Staari 11,,1,Android Nougat 7,Yes,8MP,2 GB,26,3,3.4,,Dual Sim,,Yes,,
Yes,YES,,3.5 mm,2800 mAh,4,Intex,Black,1.3 GHz,Quad Core,1280 x 720 Pixels,13.21 cm (5.2 inch),IPS,128 GB,Front and Rear LED Flash,Yes,,A-GPS,,No,16 GB,Aqua Lions X1,,Intex Aqua Lions X1,1.0,1,Android Nougat 7,Yes,13MP,2 GB,129,23,3.7,5MP,Dual Sim,Dual Nano SIM,Yes,170 g,Yes
