Name,Stars,Ratings,Reviews,Specifications,Price
"Tecno Camon I Air (Champagne Gold, 16 GB)  (2 GB RAM)",4.3,145 Ratings,12 Reviews,"{'In The Box': '1 Unit of Handset with inbuilt Battery, AC Adaptor, USB 2.0 Cable, Handsfree, Screen Guard, Silicon Back cover, SIM Ejection Tool, User Manual, Warranty Card', 'Model Name': 'Camon I Air', 'Color': 'Champagne Gold', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'Yes', 'OTG Compatible': 'No', 'Sound Enhancements': 'Bottom Speaker', 'Display Size': '14.35 cm (5.65 inch)', 'Resolution': '720 x 1440 pixels', 'Display Type': 'IPS', 'Other Display Features': 'Screen To Body Ratio 82.1%', 'Operating System': 'Android Nougat 7', 'Processor Type': 'Cortex A53', 'Processor Core': 'Quad Core', 'Primary Clock Speed': '1.3 GHz', 'Operating Frequency': '2G: GSM 2/3/5/8, 3G: WCDMA 1/2/5/8, 4G: TDD-LTE 40/41, 4G: FDD-LTE 1/3/5', 'Internal Storage': '16 GB', 'RAM': '2 GB', 'Expandable Storage': '128 GB', 'Supported Memory Card Type': 'microSD', 'Memory Card Slot Type': 'Dedicated Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '13MP Rear Camera', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '8MP Front Camera', 'Flash': 'Rear Camera with Quad LED Flash and Front Camera with Single LED Flash', 'Network Type': '3G, 4G VOLTE, 4G, 2G', 'Supported Networks': 'GSM, WCDMA, 4G LTE', 'Internet Connectivity': '4G, 3G, Wi-Fi', '3G': 'Yes', 'Bluetooth Support': 'Yes', 'Wi-Fi': 'Yes', 'Wi-Fi Version': '802.11 b/g/n', 'USB Connectivity': 'Yes', 'Smartphone': 'Yes', 'SIM Size': 'Micro SIM and Micro SIM', 'Graphics PPI': '285 PPI', 'Sensors': 'Light Sensor, Proximity Sensor, Accelerometer, Fingerprint Sensor', 'Other Features': '2.4 / Wi-Fi Direct / Wi-Fi Display', 'Battery Capacity': '3050 mAh', 'Width': '71.7 mm', 'Height': '152.2 mm', 'Depth': '7.7 mm', 'Weight': '134 g', 'Warranty Summary': '12 Month +1 Month extended Warranty'}",6399
"OPPO A9 2020 (Space Purple, 128 GB)  (4 GB RAM)",4.4,"2,227 Ratings",212 Reviews,"{'In The Box': 'Handset, Adapter, Headset, Micro USB Cable, Important Info. Booklet with Warranty Card, Quick Start Guide, Sim Card Tool, Protective Film, Pre-applied, Case', 'Model Number': 'CPH1937', 'Model Name': 'A9 2020', 'Color': 'Space Purple', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'Yes', 'OTG Compatible': 'Yes', 'Sound Enhancements': 'Dolby Atmos and Dual Stereo Speakers', 'Display Size': '16.51 cm (6.5 inch)', 'Resolution': '1600 x 720 Pixels', 'GPU': 'Adreno 610', 'Display Type': 'TFT-LCD', 'Display Colors': '16M', 'Other Display Features': 'Touch Panel Technology: In-cell, Narrow Frame - Upper Border: 2.44mm, Left and Right Border: 1.98mm, Lower Border: 6.6mm, Screen Ratio: 89.0%, Screen Contrast: 1500:1, Color Saturation: Typical 71%, Maximum Brightness: 480nits, Touch Panel Glass Type: GG3+, TYPE-C USB 2.0', 'Operating System': 'Android Pie 9', 'Processor Type': 'Qualcomm SM6125', 'Processor Core': 'Octa Core', 'Primary Clock Speed': '1.8 GHz', 'Secondary Clock Speed': '2 GHz', 'Internal Storage': '128 GB', 'RAM': '4 GB', 'Memory Card Slot Type': 'Dedicated Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '48MP + 8MP + 2MP + 2MP', 'Primary Camera Features': 'Ultra Wide Quad Camera, Sensor Type: 48MP CMOS/S5KGM1SP/OV48B, 8MP COMS/Hi846/OV8856, 2MP CMOS/OV02A1B/GC02M0, 2MP CMOS/GC02M0/OV02A1B, Maximum Zoom Multiples: 10X, Aperture: 48MP (f/1.8) + 8MP (f/2.25) + 2MP (f/2.4) + 2MP (f/2.4), Focal Length: 48MP (4.71mm) + 8MP (1.66mm) + 2MP (1.77mm) + 2MP (f1.77mm), Lens Number: 48MP (6P) + 8MP (5P) + 2MP (3P) + 2MP (3P)', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '16MP Front Camera', 'Secondary Camera Features': 'Sensor Sizes/Pixel Data - 1/3.1inch, 1.0micrometer, Sensor Type: S5K3P9SP04, Wide Angle of Front: 79Degree, Aperture: F2.0, Focal Length: 3.42mm, Lens Number: 5P', 'Flash': 'Rear LED Flash', 'Frame Rate': 'Front Camera Video: 1080P/720P at 30 fps', 'Dual Camera Lens': 'Primary Camera', 'Network Type': '4G VOLTE, 4G, 3G, 2G', 'Supported Networks': '4G VoLTE, UMTS, GSM, 4G LTE, WCDMA, CDMA', 'Internet Connectivity': '4G, 3G, Wi-Fi, EDGE, GPRS', '3G Speed': 'HSPA+', 'GPRS': 'Yes', 'Micro USB Port': 'Yes', 'Micro USB Version': '2', 'Bluetooth Support': 'Yes', 'Bluetooth Version': 'v5.0', 'Wi-Fi': 'Yes', 'Wi-Fi Version': '802.11a/b/g/n/ac', 'USB Connectivity': 'Yes', 'EDGE': 'Yes', 'Audio Jack': '3.5mm', 'Smartphone': 'Yes', 'Touchscreen Type': 'Capacitive Screen, Multi-touch', 'SIM Size': 'Dual Nano SIM', 'User Interface': 'ColorOS 6.0.1', 'Removable Battery': 'No', 'Graphics PPI': '269 PPI', 'Ringtones Format': 'MP3/AMR/APE/OGG/FLAC/WAV/MIDI/WMA', 'Other Features': 'Face Recognition, Split Screen (Specific Apps), Clone Apps, Night Shield, Sensor Hub, Game Acceleration (Specific Apps), CPU Technology - 11nm, ROM Technology: UFS 2.1, Energy Density - 696 Wh/L, Charge Speed/Power - 5V 2A, 10W, WLAN 2.4G, WLAN 5.1G, WLAN 5.8G, WLAN Display, Game Boost 2.0, 4G+, 64 bits Processor, Video Stability, Ultra Night Mode 2.0, Reverse Charging', 'FM Radio': 'Yes', 'Audio Formats': 'MP3/AAC/APE/AMR/WAV/MID/OGG/FLAC/WMA', 'Video Formats': 'AVI/3GP/MP4/WMV/MKV/MOV/ASF/FLV', 'Battery Capacity': '5000 mAh', 'Width': '75.6 mm', 'Height': '163.6 mm', 'Depth': '9.1 mm', 'Weight': '195 g', 'Warranty Summary': 'Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories'}",14990
"Apple iPhone 6s (Gold, 32 GB)",4.5,"91,235 Ratings","9,294 Reviews","{'In The Box': 'Handset, Apple EarPods with Remote and Mic, Lightning to USB Cable, USB Power Adapter, SIM Slot Remover Tool', 'Model Number': 'MN112HN/A', 'Model Name': 'iPhone 6s', 'Color': 'Gold', 'Browse Type': 'Smartphones', 'SIM Type': 'Single Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'Yes', 'SAR Value': '1.6 W/kg (over 1 g) SAR Limit, Head: 1.14, Body: 1.14', 'Display Size': '11.94 cm (4.7 inch)', 'Resolution': '750 x 1334 Pixels', 'Resolution Type': 'Retina HD Display', 'GPU': 'PowerVR GT7600 (Six-core Graphics)', 'Display Type': 'LED Backlit IPS LCD', 'Display Colors': '16 M', 'Other Display Features': 'Retina HD Display with 3D Touch, LED Backlit Widescreen, 326 PPI, 500 cd/m2 Maximum Brightness, Full sRGB Standard, Dual Domain Pixels for Wide Viewing Angles, Fingerprint Resistant Oleophobic Coating, Display Zoom, Reachability', 'Operating System': 'iOS 9', 'Processor Type': 'Apple A9 64-bit processor and Embedded M9 Motion Co-processor', 'Processor Core': 'Dual Core', 'Primary Clock Speed': '1.84 GHz', 'Operating Frequency': 'GSM - 850, 900, 1800, 1900; UMTS - 850, 900, 1700, 1900, 2100; 4G LTE (TD) - Band 38/39/40/41', 'Internal Storage': '32 GB', 'Phone Book Memory': 'Yes', 'Call Log Memory': 'Yes', 'SMS Memory': 'Yes', 'Primary Camera Available': 'Yes', 'Primary Camera': '12MP Rear Camera', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '5MP Front Camera', 'Secondary Camera Features': '720p HD Video Recording, Retina Flash, f/2.2 Aperture, Auto HDR for Photos and Videos, Backside Illumination Sensor, Exposure Control, Burst Mode, Timer Mode, Face Detection', 'HD Recording': 'Yes', 'Full HD Recording': 'Yes', 'Video Recording': 'Yes', 'Video Recording Resolution': '3840 x 2160', 'Frame Rate': '2160p@30fps; 1080p@30fps,1080p@60fps; 720p@30fps; Slow Motion Video Support: 1080p@120fps and 720p@240fps fps', 'Hands Free': 'Yes', 'Video Call Support': 'Yes', 'Phone Book': 'Yes', 'Network Type': '3G, 4G, 2G', 'Supported Networks': '4G LTE', 'Internet Connectivity': '3G, 4G, Wi-Fi, GPRS, EDGE', '3G': 'Yes', 'GPRS': 'Yes', 'Pre-installed Browser': 'Safari', 'Bluetooth Support': 'Yes', 'Bluetooth Version': '4.2', 'Wi-Fi': 'Yes', 'Wi-Fi Version': '802.11 a/b/g/n/ac', 'NFC': 'Yes', 'USB Connectivity': 'Yes', 'EDGE': 'Yes', 'Audio Jack': '3.5 mm', 'Map Support': 'Google Maps', 'GPS Support': 'Yes', 'Smartphone': 'Yes', 'SIM Size': 'Nano Sim', 'Removable Battery': 'No', 'JAVA Support': 'No', 'SMS': 'Yes', 'Voice Input': 'Yes', 'Predictive Text Input': 'Yes', 'Sensors': 'Touch ID Fingerprint Sensor, Barometer, Three-axis Gyro Sensor, Accelerometer, Proximity Sensor, Ambient Light Sensor, Digital Compass', 'Supported Languages': 'Multi-language Support', 'Games': 'Yes', 'Browser': 'Safari', 'Other Features': 'Photos, Wallet, Calendar, Notes, Reminders, Clock, Calculator', 'GPS Type': 'A-GPS, GLONASS', 'Audio Formats': 'WAV, AAX, AAX+, AAC, VBR, MP3, AIFF, HE-AAC', 'Video Formats': 'H.264, MP4, MOV, M4V, AAC-LC, MPEG4, AVI, MJPEG, PCM', 'Battery Capacity': '1715 mAh', 'Battery Type': 'Li-Ion', 'Width': '67.1 mm', 'Height': '138.3 mm', 'Depth': '7.1 mm', 'Weight': '143 g', 'Warranty Summary': 'Brand Warranty of 1 Year'}",25499
"ITEL A46 (FIERY RED, 32 GB)  (2 GB RAM)",4.1,320 Ratings,37 Reviews,"{'In The Box': 'Mobile, Battery, Charger, User Manual', 'Model Number': 'A46', 'Model Name': 'A46', 'Color': 'FIERY RED', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'Yes', 'OTG Compatible': 'No', 'Additional Content': 'Mobile, Battery, Charger, User Manual', 'Display Size': '13.84 cm (5.45 inch)', 'Resolution': '720 X 1440$$pixel', 'Resolution Type': 'Full HD', 'Operating System': 'Android Pie 9', 'Processor Core': 'Octa Core', 'Primary Clock Speed': '1.6 GHz', 'Internal Storage': '32 GB', 'RAM': '2 GB', 'Memory Card Slot Type': 'Dedicated Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '8MP Rear Camera', 'Secondary Camera Available': 'Yes', 'Call Wait/Hold': 'Yes', 'Conference Call': 'Yes', 'Hands Free': 'Yes', 'Video Call Support': 'Yes', 'Call Divert': 'Yes', 'Speaker Phone': 'Yes', 'Network Type': '4G VOLTE, 3G', 'Supported Networks': '4G VoLTE, GSM', 'Smartphone': 'Yes', 'Touchscreen Type': 'HD IPS', 'Keypad Type': 'Alphanumeric', 'Social Networking Phone': 'Yes', 'Instant Message': 'Yes', 'Business Phone': 'Yes', 'Removable Battery': 'No', 'MMS': 'Yes', 'SMS': 'Yes', 'Voice Input': 'Yes', 'Predictive Text Input': 'Yes', 'Supported Languages': 'multi language support', 'Battery Capacity': '2400 mAh', 'Warranty Summary': '1 Year', 'Covered in Warranty': 'Manufacturing Defects only', 'Not Covered in Warranty': 'Water or physcial damage'}",4675
"Nokia 8110 (Black, 4 GB)  (512 MB RAM)",3.7,"1,582 Ratings",195 Reviews,"{'In The Box': 'Battery, Charger, Headphone', 'Model Number': '8110', 'Model Name': '8110', 'Color': 'Black', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'No', 'OTG Compatible': 'No', 'Display Size': '6.1 cm (2.4 inch)', 'Resolution': '240 x 320 Pixels', 'Operating System': 'KaiOS', 'Processor Core': 'Dual Core', 'Primary Clock Speed': '1.1 GHz', 'Internal Storage': '4 GB', 'RAM': '512 MB', 'Primary Camera Available': 'Yes', 'Primary Camera': '2MP Rear Camera', 'Secondary Camera Available': 'No', 'Call Wait/Hold': 'Yes', 'Conference Call': 'Yes', 'Hands Free': 'Yes', 'Call Divert': 'Yes', 'Phone Book': 'Yes', 'Speaker Phone': 'Yes', 'Speed Dialing': 'Yes', 'Network Type': '3G, 4G, 2G', 'Supported Networks': 'GSM, 4G LTE', 'Wi-Fi': 'Yes', 'USB Connectivity': 'Yes', 'Audio Jack': '3.5 mm', 'Instant Message': 'Yes', 'Business Phone': 'Yes', 'Removable Battery': 'Yes', 'MMS': 'Yes', 'SMS': 'Yes', 'Keypad': 'Yes', 'Battery Capacity': '1500 mAh', 'Battery Type': 'Li-Ion', 'Warranty Summary': '1 Year Warranty'}",3799
"BlackZone NEO 4G (Green+Purple, 16 GB)  (2 GB RAM)",3.6,24 Ratings,2 Reviews,"{'In The Box': 'Handset , Headset, Warranty Card, Battery, Charger,User guide', 'Model Number': 'NEO', 'Model Name': 'NEO 4G', 'Color': 'Green+Purple', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'Yes', 'OTG Compatible': 'Yes', 'Display Size': '15.9 cm (6.26 inch)', 'Resolution': '1520 x 720$$pixels', 'Operating System': 'Android Oreo 8.1', 'Processor Core': 'Octa Core', 'Primary Clock Speed': '1.5 GHz', 'Operating Frequency': 'GSM: 850/900/1800/1900 MHz, WCDMA: 850/900/2100 MHz, 4G FDD-LTE: Bands 1/3/5/8, TD-LTE: Bands 38/40/41 (2535 - 2655 MHz)', 'Internal Storage': '16 GB', 'RAM': '2 GB', 'Memory Card Slot Type': 'Dedicated Slot', 'Primary Camera': '8MP Rear Camera', 'Dual Camera Lens': 'Primary Camera', 'Network Type': '4G VOLTE', 'Supported Networks': '4G VoLTE, GSM, 4G LTE', 'Smartphone': 'Yes', 'Touchscreen Type': 'INCH', 'SIM Size': 'DUAL SIM', 'Keypad Type': 'QWERTY', 'User Interface': 'Touchwiz', 'Social Networking Phone': 'Yes', 'Instant Message': 'Yes', 'Business Phone': 'Yes', 'MMS': 'Yes', 'SMS': 'Yes', 'Keypad': 'Yes', 'Voice Input': 'Yes', 'Predictive Text Input': 'Yes', 'User Memory': '16', 'SIM Access': 'Dual standby', 'Upgradable Operating System': '8.1', 'Series': 'N', 'Browser': 'Smartphone', 'Battery Capacity': '3000 mAh', 'Weight': '500 g', 'Warranty Summary': 'Brand Warranty of 1 Year Available for Mobile'}",4799
"Tecno Camon i ACE 2x (Midnight Black, 32 GB)  (3 GB RAM)",4.1,895 Ratings,88 Reviews,"{'In The Box': 'Handset, Charger, Headset, Screen film, Data cable', 'Model Number': 'Camon i ACE 2x/KB2j', 'Model Name': 'Camon i ACE 2x', 'Color': 'Midnight Black', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'Yes', 'OTG Compatible': 'No', 'Display Size': '13.97 cm (5.5 inch)', 'Resolution': '1440x720$$Pixels', 'Resolution Type': 'HD+', 'Display Type': 'TFT', 'Other Display Features': '18:9 Scale Full Screen Display. 80.5% Screen to Body Ratio', 'Operating System': 'Android Oreo 8.1', 'Processor Core': 'Quad Core', 'Primary Clock Speed': '2 GHz', 'Internal Storage': '32 GB', 'RAM': '3 GB', 'Expandable Storage': '128 GB', 'Supported Memory Card Type': 'MicroSD', 'Memory Card Slot Type': 'Dedicated Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '13MP + 0.3MP', 'Primary Camera Features': 'Dual Camera 13MP+VGA with Features like Beauty Mode , Portrait Mode ,Digital Zoom , video Chat Flash , Backlight HDR , Adjustable Flashlight , Pananorma Mode , Filter , Watermark', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '8MP Front Camera', 'Secondary Camera Features': '8MP Selfie Camera with F2.0 Apparture , 4P lens 76.9 Degree Selfie Angle', 'Flash': 'Both Flash available Front and Back', 'Video Recording': 'Yes', 'Dual Camera Lens': 'Primary Camera', 'Video Call Support': 'Yes', 'Phone Book': 'Yes', 'Speaker Phone': 'Yes', 'Network Type': '3G, 4G, 2G', 'Supported Networks': 'GSM, 4G LTE', 'Mini USB Port': 'Yes', 'Bluetooth Support': 'Yes', 'Wi-Fi': 'Yes', 'Wi-Fi Hotspot': 'Yes', 'USB Tethering': 'Yes', 'USB Connectivity': 'Yes', 'Audio Jack': '3.5 mm', 'Map Support': 'Google Maps', 'Smartphone': 'Yes', 'Social Networking Phone': 'Yes', 'Instant Message': 'Yes', 'Business Phone': 'Yes', 'Removable Battery': 'No', 'MMS': 'Yes', 'SMS': 'Yes', 'Graphics PPI': '269 ppi', 'Sensors': 'G Sensor/Proximity Sensor/Light Sensor', 'Supported Languages': 'Multi Language supports like Hindi , English & Etc', 'Other Features': 'Finger print Sensor + Face Unlock ID - Unlock with ease with your Finger print ID or by Face ID', 'Important Apps': 'Theme , Whatsapp mode , App Lock , Social File Manager , Micro intelligence Mode', 'FM Radio': 'Yes', 'Music Player': 'Available', 'Battery Capacity': '3050 mAh', 'Battery Type': 'Li-Poly', 'Weight': '150 g', 'Warranty Summary': '1 Year Brand Warranty', 'Covered in Warranty': 'Manufacturing Defects', 'Not Covered in Warranty': 'Physical Damage , Liquid Damage', 'Domestic Warranty': '12 Months'}",6849
"OPPO F15 (Unicorn White, 128 GB)  (8 GB RAM)",4.4,"4,430 Ratings",460 Reviews,"{'In The Box': 'Handset, Headset, USB Cable, Adapter, SIM Card Pin, Protective Case, Quick Guide, Warranty Card', 'Model Number': 'CPH2001', 'Model Name': 'F15', 'Color': 'Unicorn White', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'Yes', 'OTG Compatible': 'Yes', 'Sound Enhancements': 'Dirac Audio, Dual Mic Noise Suppression', 'SAR Value': 'Head: 1.20 W/kg, Body: 0.55 W/kg', 'Display Size': '16.26 cm (6.4 inch)', 'Resolution': '2400 x 1080 Pixels', 'Resolution Type': 'Full HD+', 'GPU': 'ARM Mali G72 MP3 900 MHz', 'Display Type': 'AMOLED', 'Other Display Features': 'Screen Proportion: 20:9, Upper Frame: 2.32mm, Left and Right Frame: 1.67mm, Lower Frame: 5.2mm, Screen Ratio: 90.8%, Color Gamut: 100% NTSC, 104% NTSC DCI - P3, Color Contrast: 1000000:1, Color Saturation: Typical Value 100%, Maximum Screen Brightness: Typical Value 430nit, Corning Gorilla Glass 5, Multi-touch: 10, Oleophobic Layer, Oleophobic Layer on Film, Screen Refresh Rate: 60Hz, Touch Sampling Rate: 135Hz, TUV Rheinland Eye Comfort Certification, No Stroboscopic Eye Protection', 'Operating System': 'Android Pie 9', 'Processor Type': 'Helio P70', 'Processor Core': 'Octa Core', 'Primary Clock Speed': '2.1 GHz', 'Secondary Clock Speed': '2 GHz', 'Operating Frequency': 'GSM: 850/900/1800/1900 MHz, WCDMA: B1/B5/B8, FDD-LTE: B1/B3/B5/B8, TD-LTE: B38/B40/B41', 'Internal Storage': '128 GB', 'RAM': '8 GB', 'Expandable Storage': '256 GB', 'Supported Memory Card Type': 'microSD', 'Memory Card Slot Type': 'Dedicated Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '48MP + 8MP + 2MP + 2MP', 'Primary Camera Features': '48MP AI Quad Cam, Sensor Sizes/Pixel Size: Main 1/2.25inch, 0.8micrometer, Secondary Wide Angle: 1/4inch, 1.12 micrometer, 2M 1/5inch, 1.75micrometer, Sensor Type: CMOS, Zoom Mode: Main - 10X Digital Zoom, Wide Angle - 2X Digital Zoom, Aperture: Main - f/1.79, Wide Angle - f/2.25, Portrait and Mono - f/2.4, Focal Length: Main - 4.71mm, Wide Angle - 1.66mm, Portrait and Mono - 1.77mm, Wide Angle: Main - 79Degree, Wide Angle - 119 Degree, Portrait and Mono - 88.8Degree, Consecutive Shooting: Yes (20 Photos), Macro Lens: Back 3CM Macro Camera, EIS Stabilization, Lens Glass Material: GG5, Corning Gorilla Glass 5, Photo Size: 8000 x 6000 (FHD+ Mode), 4000 x 3000 (Standard Mode), Ultra Clear Mode 48MP, Photo, Video, Professional Mode, Panorama, Portrait, Night Scene, Time-lapse Photography, Slow Motion, Macro, Video Stabilization, AI Scene Recognition, Full Light for Shooting Video, MP4 Video Format, Anti-shake Video, Ultra Night Mode 2.0', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '16MP Front Camera', 'Secondary Camera Features': 'Camera Structure: Water-drop, Sensor Type: CMOS (4-in-1 Pixel Technology), Sensor Size/Pixel Size: 1/3.1inch, 1.0micrometer, Focal Length: 3.54mm, Wide Angle of Front Lens: 77Degree, Flashlight Aperture: f/2.0, Lens Structure: 5P, Focusing Type: Focus, Lens Glass Material: GG5, Corning Gorilla Glass 5, Photo Size: 4608 x 3456, MP4 Video Format', 'Frame Rate': 'Rear Camera: Slow-motion Video - 1080p at 120fps, 720p at 240fps, Rear Camera: 1080P at 30fps, 720P at 30fps, Front Camera: 1080P/720P at 30fps, Rear Camera Default: 1080P at 30fps, Front Camera Default: 720P at 30fps fps', 'Dual Camera Lens': 'Primary Camera', 'Video Call Support': 'Yes', 'Call Records': 'Yes', 'Network Type': '4G VOLTE, 4G, 3G, 2G', 'Supported Networks': '4G VoLTE, 4G LTE, UMTS, WCDMA, CDMA, GSM', 'Internet Connectivity': '4G, 3G, Wi-Fi, EDGE, GPRS', '3G Speed': 'HSPA+', 'GPRS': 'Yes', 'Bluetooth Support': 'Yes', 'Bluetooth Version': 'v4.2', 'Wi-Fi': 'Yes', 'Wi-Fi Version': '802.11a/b/g/n/ac', 'Wi-Fi Hotspot': 'Yes', 'EDGE': 'Yes', 'Audio Jack': '3.5mm', 'Map Support': 'Google Maps', 'GPS Support': 'Yes', 'Touchscreen Type': 'Multi-touch Capacitive Screen', 'SIM Size': 'Dual Nano SIM', 'User Interface': 'ColorOS 6.1.2', 'Graphics PPI': '408 PPI', 'Sensors': 'In-screen Fingerprint, Magnetic Induction Sensor, Light Sensor, Proximity Sensor, G - Sensor/Acceleration Sensor, Gyroscope, Pedometer', 'Ringtones Format': 'MP3, AMR, APE, OGG, FLAC, WAV, MIDI, WMA', 'Other Features': ""Split Screen,Apps with Game Boost (Popular Games), Google Lens, Data Backup, Oshare (Indian Phone Number's Recognition), Apps Lock, Office Tools: Office Suite, Firewall: Support Call/Message Firewall, Files Zip/Unzip, File Encryption, 64bit Processor, Baseband Structure: 4 (Cortex A73) + 4 (Cortex A53), 12nm Processor, ROM Technology: UFS2.1, VoLTE, 4G Data Rate: 75Mbps (Carrier Model 150mbps), Downlink: 150Mbps (Carrrier Model 300Mbps), WLAN: 2.4G, 5.1G, 5.8G WLAN Display, USB 2.0, VOOC Flash Charge 3.0, Reverse Charging, Standard Charge Power: 20W, Type-C USB Jack, Pin Number (USB): 14, Face Recognition, Single Channel,Eye Protection Mode, Clone App, Banner Call, Game Boost, Kids Space, Text Input, Support HD, Webpage Video Play, World Time, Lock Screen Clock, OPPO Share, E-compass, E-book, Screen Recording, Background Freeze, Caller Avatar, Call Background, Contact Grouping, Group Customization, Import/Export Messages, Number of Ram Channels: 2, Fingerprint Reset password, Sleek Design, Flashlight"", 'Important Apps': 'Bulit-in Browser: Chrome, Opera, OPPO Browsers', 'GPS Type': 'A-GPS, GLONASS, BeiDou', 'FM Radio': 'No', 'Audio Formats': 'AAC, APE, FLAC, AMR, MID, MP3, OGG, WAV, WMA, MKA', 'Video Formats': 'MP4, 3GP, ASF, AVI, FLV, M2TS, MKV, MPG, TS, WEBM, WMV', 'Battery Capacity': '4000 mAh', 'Width': '73.3 mm', 'Height': '160.2 mm', 'Depth': '7.9 mm', 'Weight': '172 g', 'Warranty Summary': 'Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories'}",19990
"Yu Yunique (Black, 8 GB)  (1 GB RAM)",3.8,418 Ratings,81 Reviews,"{'In The Box': 'Handset, Handsfree, Charger, Data Cable', 'Model Number': 'YU4711', 'Model Name': 'Yunique', 'Color': 'Black', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Touchscreen': 'Yes', 'Additional Content': 'SCREEN GUARD', 'Display Size': '11.94 cm (4.7 inch)', 'Resolution': '1280 x 720 Pixels', 'Resolution Type': 'HD', 'Operating System': 'Android Lollipop 5.1.1', 'Processor Type': 'Qualcomm MSM8916 Snapdragon 410', 'Processor Core': 'Quad Core', 'Primary Clock Speed': '1.2 GHz', 'Internal Storage': '8 GB', 'RAM': '1 GB', 'Primary Camera': '8MP Rear Camera', 'Secondary Camera': '2MP Front Camera', 'Network Type': '4G', 'Supported Networks': '4G LTE', 'Battery Capacity': '2000 mAh', 'Warranty Summary': '1 Year Manufacturer Warranty'}",4695
"Coolpad Cool 5 (Gradient Blue, 64 GB)  (4 GB RAM)",4,228 Ratings,21 Reviews,"{'In The Box': 'handset,removal battery ,travel charger, usb cable,warranty card,one ejector,quick starter guide,protective sil,protective kase', 'Model Number': '1826-I01', 'Model Name': 'Cool 5', 'Color': 'Gradient Blue', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'Yes', 'Touchscreen': 'Yes', 'OTG Compatible': 'no', 'Display Size': '15.8 cm (6.22 inch)', 'Resolution': '1520 x 720$$pixel', 'Operating System': 'Android Pie 9.0', 'Processor Core': 'Octa Core', 'Primary Clock Speed': '2 GHz', 'Internal Storage': '64 GB', 'RAM': '4 GB', 'Memory Card Slot Type': 'Dedicated Slot', 'Primary Camera': '13MP Rear Camera', 'Dual Camera Lens': 'Primary Camera', 'Network Type': '4G VOLTE, 3G', 'Supported Networks': '4G VoLTE, GSM', 'Battery Capacity': '4000 mAh', 'Warranty Summary': '1 Year'}",7880
